image_id,healthy,multiple_diseases,rust,scab
Test_1722,0,0,1,0
Test_1724,0,0,1,0
Test_1729,0,0,1,0
Test_1732,0,0,1,0
Test_1733,0,0,0,1
Test_1734,0,0,1,0
Test_1735,0,0,1,0
Test_1736,0,0,1,0
Test_1738,0,0,0,1
Test_1745,0,0,1,0
Test_1747,0,0,0,1
Test_1750,0,0,0,1
Test_1751,0,0,0,1
Test_1754,1,0,0,0
Test_1757,0,0,0,1
Test_1758,1,0,0,0
Test_1759,0,0,0,1
Test_1761,1,0,0,0
Test_1762,0,0,0,1
Test_1763,0,0,1,0
Test_1764,0,0,1,0
Test_1767,0,0,1,0
Test_1768,0,0,1,0
Test_1769,1,0,0,0
Test_1770,0,0,0,1
Test_1775,0,0,1,0
Test_1776,0,0,0,1
Test_1778,1,0,0,0
Test_1779,0,0,1,0
Test_1784,0,0,1,0
Test_1785,0,0,0,1
Test_1787,0,0,0,1
Test_1788,1,0,0,0
Test_1789,1,0,0,0
Test_1791,1,0,0,0
Test_1793,0,0,1,0
Test_1794,0,0,1,0
Test_1798,1,0,0,0
Test_1799,0,0,0,1
Test_1800,1,0,0,0
Test_1802,0,0,1,0
Test_1804,0,0,1,0
Test_1805,1,0,0,0
Test_1806,0,0,0,1
Test_1807,0,0,0,1
Test_1808,0,0,0,1
Test_1809,1,0,0,0
Test_1812,0,0,1,0
Test_1813,0,0,0,1
Test_1815,0,0,1,0
Test_1817,0,0,0,1
Test_1818,0,0,1,0
Test_1819,1,0,0,0
Test_1820,0,0,0,1
